date,ticker,open,high,low,close,volume,ma_10,ma_20,ema_20,momentum,volatility,next_day_return
2025-01-07,SPY,595.628,595.957,585.02,586.865,60393100,,,584.755,,,0.00146092
2025-01-08,SPY,586.934,588.809,583.445,587.722,47304700,,,585.037,,,-0.0152675
2025-01-10,SPY,584.123,584.193,576.815,578.749,73105000,,,584.438,-4.13763,,0.00155048
2025-01-13,SPY,574.043,580.005,573.624,579.646,47910100,,,583.982,-10.5283,,0.00137602
2025-01-14,SPY,582.607,583.245,576.615,580.444,48420600,,,583.645,-13.1305,,0.01819
2025-01-15,SPY,588.56,592.159,587.433,591.002,56900200,,,584.346,4.13757,,-0.00192317
2025-01-16,SPY,592.388,592.567,589.158,589.866,43319700,586.093,,584.871,2.14362,,0.0100399
2025-01-17,SPY,595.17,597.562,593.824,595.788,58070600,587.383,,585.911,17.0388,,0.00915351
2025-01-21,SPY,598.868,601.251,596.874,601.241,42532900,588.49,,587.371,21.595,,0.00562141
2025-01-22,SPY,604.103,605.997,603.544,604.621,48196000,589.594,,589.014,24.1772,,0.00545814
2025-01-23,SPY,603.983,607.921,603.704,607.921,41152100,591.7,,590.815,16.9191,,-0.00291932
2025-01-24,SPY,607.981,608.948,604.98,606.147,34604700,593.543,,592.275,16.2809,,-0.0141454
2025-01-27,SPY,593.026,597.891,592.857,597.572,70361100,595.425,,592.779,1.78461,,0.0085924
2025-01-28,SPY,598.819,603.554,595.459,602.707,44433300,597.731,,593.725,1.46564,,-0.00448295
2025-01-29,SPY,601.909,602.318,597.423,600.005,37177400,599.687,,594.323,-4.61609,,0.00536708
2025-01-30,SPY,602.149,604.781,598.918,603.225,39281300,600.909,,595.171,-4.69592,,-0.00532194
2025-01-31,SPY,605.678,608.131,599.247,600.015,66671500,601.924,594.009,595.632,-6.13153,9.27028,-0.00672957
2025-02-03,SPY,590.892,598.49,588.719,595.977,65857200,601.943,594.663,595.665,-1.59521,8.89834,0.00670829
2025-02-04,SPY,596.037,600.494,595.489,599.975,33457800,601.817,595.153,596.075,-2.73181,8.90801,0.00405453
2025-02-05,SPY,598.839,602.557,596.785,602.408,30653100,601.595,595.595,596.679,2.40271,9.04356,0.00347564
2025-02-06,SPY,604.172,604.631,600.823,604.502,35771500,601.253,596.477,597.424,1.27618,9.00729,-0.00915353
2025-02-07,SPY,605.07,606.306,598.25,598.968,50788500,600.535,597.039,597.571,-1.04681,8.78016,0.00679116
2025-02-10,SPY,602.218,603.684,600.932,603.036,26048700,601.082,598.253,598.091,7.05872,7.73467,0.000760617
2025-02-11,SPY,600.743,604.043,600.623,603.495,30056700,601.161,599.446,598.606,3.51941,6.44609,-0.00322149
2025-02-12,SPY,597.403,602.737,596.715,601.55,45076100,601.315,600.501,598.886,-0.857361,4.64858,0.0105575
2025-02-13,SPY,602.667,608.111,601.391,607.901,40921300,601.783,601.346,599.745,3.39978,4.35789,-4.91975e-05
2025-02-14,SPY,608.111,609.158,607.243,607.871,26910400,602.568,602.246,600.519,8.9032,3.66636,0.00293583
2025-02-18,SPY,609.048,609.656,606.555,609.656,26749000,603.936,602.94,601.389,6.62012,3.69193,0.00235488
2025-02-19,SPY,608.25,611.391,607.732,611.092,31011100,605.048,603.432,602.313,7.59711,4.08911,-0.00416026
2025-02-20,SPY,609.706,609.845,605.199,608.549,36554000,605.662,603.629,602.907,6.99896,4.24075,-0.0171041
2025-02-21,SPY,608.33,608.47,597.672,598.141,76519800,605.026,603.14,602.453,-9.76062,4.2834,-0.00455044
2025-02-24,SPY,600.214,601.221,594.701,595.419,50737200,604.671,602.603,601.783,-12.4525,4.5504,-0.00497317
